batch,cell_rmsd_A,convergence_match,distribution,energy_error_eV_per_atom,force_error_eV_per_A,memory_gate_fraction,method,model,neighbor_fraction,neighbor_rebuilds,neighbor_time_s,observed_backend,peak_allocated_GB,peak_reserved_GB,pool,position_rmsd_A,requested_backend,source,speedup_vs_ase,speedup_vs_matscipy,status,step_difference,task,throughput_per_s,validation_passed,velocity_rmsd_A_per_fs,wall_time_s,workload
32,,,MIX,1.7967776975769928e-07,4.291534423828125e-06,0.09294595573781865,native_batch,AtomBit,0.730799097975517,1,0.21700960540771486,matscipy,7.166252032,7.902068736,32,,matscipy,runs/direct_backend_frontier/eval/atombit_mix_r32.json,2.623218305799023,1.0,passed,,eval,107.76283884429924,True,,0.29694837611168623,EVAL-MIX-R32-v1
16,,,MIX,1.2439230213994565e-07,3.814697265625e-06,0.04864369021098152,native_batch,AtomBit,0.558696866326621,2,0.1087354860305786,cuda_dense,3.715260928,4.135583744,32,,auto,runs/direct_backend_frontier/eval/atombit_mix_r32.json,4.002398474969928,1.6048776561328264,passed,,eval,164.42010216815635,True,,0.1946234041824937,EVAL-MIX-R32-v1
32,,,MIX,1.9349914654794967e-07,5.245208740234375e-06,0.09289662136640792,native_batch,AtomBit,0.23945960292462734,1,0.02396751976013184,cuda_dense,7.168346624,7.897874432,32,,auto,runs/direct_backend_frontier/eval/atombit_mix_r32.json,7.782597189802774,2.966812625772761,passed,,eval,319.7121508723823,True,,0.10009003384038806,EVAL-MIX-R32-v1
1,,,H276,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.507159552,0.645922816,256,,ase,runs/direct_backend_frontier/eval/mace_h276_r256.json,1.0,,passed,,eval,31.386214800230377,True,,8.156447078101337,EVAL-H276-R256-v1
32,,,H276,9.49037949676099e-13,8.881784197001252e-15,0.17548235910797289,native_batch,MACE-OFF-Small,0.522571857042943,8,0.9552578849792479,matscipy,13.461727744,14.919139328,256,,matscipy,runs/direct_backend_frontier/eval/mace_h276_r256.json,4.46196756237034,1.0,passed,,eval,140.04427234421584,True,,1.8279933603480458,EVAL-H276-R256-v1
64,,,H276,8.435892886009769e-13,8.659739592076221e-15,0.3421585329191301,native_batch,MACE-OFF-Small,0.5280512990113299,4,0.954780860900879,matscipy,26.82661632,29.089595392,256,,matscipy,runs/direct_backend_frontier/eval/mace_h276_r256.json,4.51100629608841,1.0,passed,,eval,141.58341257422245,True,,1.8081214129924774,EVAL-H276-R256-v1
32,,,H276,7.381406275258548e-13,8.881784197001252e-15,0.1742983341941153,native_batch,MACE-OFF-Small,0.19074178695540933,8,0.19982054233551025,cuda_dense,13.46096128,14.818476032,256,,auto,runs/direct_backend_frontier/eval/mace_h276_r256.json,7.785862618028728,1.7449393141470146,passed,,eval,244.3687565345337,True,,1.0475970972329378,EVAL-H276-R256-v1
64,,,H276,8.435892886009769e-13,8.881784197001252e-15,0.34773331688854286,native_batch,MACE-OFF-Small,0.15204600956588127,4,0.14609875297546385,cuda_dense,26.827638272,29.563551744,256,,auto,runs/direct_backend_frontier/eval/mace_h276_r256.json,8.48847238736442,1.8817247926975753,passed,,eval,266.421017675644,True,,0.9608851517550647,EVAL-H276-R256-v1
1,,,H276,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.507159552,0.645922816,32,,ase,runs/direct_backend_frontier/eval/mace_h276_r32.json,1.0,,passed,,eval,9.911784357503674,True,,3.2284802459180355,EVAL-H276-R32-v1
16,,,H276,4.2179464430048846e-13,7.993605777301127e-15,0.0878398482968079,native_batch,MACE-OFF-Small,0.49708353526566773,2,0.12112822532653808,matscipy,6.768324096,7.467958272,32,,matscipy,runs/direct_backend_frontier/eval/mace_h276_r32.json,13.248971243903027,1.0,passed,,eval,131.32094592833403,True,,0.24367780610919,EVAL-H276-R32-v1
32,,,H276,7.381406275258548e-13,7.993605777301127e-15,0.1742983341941153,native_batch,MACE-OFF-Small,0.5217725691714458,1,0.12037430191040038,matscipy,13.451720704,14.818476032,32,,matscipy,runs/direct_backend_frontier/eval/mace_h276_r32.json,13.994120054675642,1.0,passed,,eval,138.7067002549625,True,,0.23070262605324388,EVAL-H276-R32-v1
16,,,H276,6.326919664507327e-13,7.993605777301127e-15,0.09738604916478451,native_batch,MACE-OFF-Small,0.29519498417991624,2,0.0473316478729248,cuda_dense,6.7687808,8.279556096,32,,auto,runs/direct_backend_frontier/eval/mace_h276_r32.json,20.135178426021177,1.5197541043261815,passed,,eval,199.57554655858218,True,,0.16034028492867947,EVAL-H276-R32-v1
32,,,H276,7.381406275258548e-13,7.549516567451064e-15,0.1742983341941153,native_batch,MACE-OFF-Small,0.16580962384262243,1,0.021054240226745603,cuda_dense,13.452836864,14.818476032,32,,auto,runs/direct_backend_frontier/eval/mace_h276_r32.json,25.425429243416165,1.8168651650891872,passed,,eval,252.0113718577088,True,,0.12697839690372348,EVAL-H276-R32-v1
1,,,H46,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.145898496,0.176160768,256,,ase,runs/direct_backend_frontier/eval/mace_h46_r256.json,1.0,,passed,,eval,32.36708595218757,True,,7.909269323106855,EVAL-H46-R256-v1
128,,,H46,1.2653839329014653e-12,7.549516567451064e-15,0.11608377592945185,native_batch,MACE-OFF-Small,0.5446697204770451,2,0.2760019836425781,matscipy,9.061288448,9.869197312,256,,matscipy,runs/direct_backend_frontier/eval/mace_h46_r256.json,15.608364311515418,1.0,passed,,eval,505.1972692438765,True,,0.5067327469587326,EVAL-H46-R256-v1
256,,,H46,1.2653839329014653e-12,7.993605777301127e-15,0.23090952538793003,native_batch,MACE-OFF-Small,0.5559132841454071,1,0.2765190124511719,matscipy,18.038731776,19.631439872,256,,matscipy,runs/direct_backend_frontier/eval/mace_h46_r256.json,15.900779644854465,1.0,passed,,eval,514.6619014717991,True,,0.49741393188014627,EVAL-H46-R256-v1
128,,,H46,1.2653839329014653e-12,7.105427357601002e-15,0.11615777748656794,native_batch,MACE-OFF-Small,0.27191670033882326,2,0.07908860874176026,cuda_dense,9.05992448,9.875488768,256,,auto,runs/direct_backend_frontier/eval/mace_h46_r256.json,27.19307433327885,1.7422116623211157,passed,,eval,880.1605742494623,True,,0.2908560181967914,EVAL-H46-R256-v1
256,,,H46,1.2653839329014653e-12,7.993605777301127e-15,0.2308355238308139,native_batch,MACE-OFF-Small,0.18595181900908136,1,0.04584947204589844,cuda_dense,18.03855616,19.625148416,256,,auto,runs/direct_backend_frontier/eval/mace_h46_r256.json,32.07764347192769,2.01736293366647,passed,,eval,1038.2598433995122,True,,0.24656640784814954,EVAL-H46-R256-v1
1,,,H46,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.145898496,0.176160768,32,,ase,runs/direct_backend_frontier/eval/mace_h46_r32.json,1.0,,passed,,eval,10.05863347774631,True,,3.181346658151597,EVAL-H46-R32-v1
16,,,H46,1.2653839329014653e-12,5.329070518200751e-15,0.017464367479399046,native_batch,MACE-OFF-Small,0.381276544723259,2,0.0347994556427002,matscipy,1.19856384,1.484783616,32,,matscipy,runs/direct_backend_frontier/eval/mace_h46_r32.json,34.856087228518774,1.0,passed,,eval,350.6046059000245,True,,0.09127090591937304,EVAL-H46-R32-v1
32,,,H46,1.2653839329014653e-12,7.105427357601002e-15,0.030093966560546376,native_batch,MACE-OFF-Small,0.45202638594488914,1,0.03642534255981445,matscipy,2.323390464,2.55852544,32,,matscipy,runs/direct_backend_frontier/eval/mace_h46_r32.json,39.479453898358685,1.0,passed,,eval,397.10935666517275,True,,0.08058233698830009,EVAL-H46-R32-v1
16,,,H46,1.1072109412887823e-12,7.549516567451064e-15,0.017415033107988313,native_batch,MACE-OFF-Small,0.43477186967742054,2,0.047549567699432374,cuda_dense,1.19856384,1.480589312,32,,auto,runs/direct_backend_frontier/eval/mace_h46_r32.json,29.088803570197232,0.8345401300923178,passed,,eval,292.5936134187723,True,,0.10936670703813434,EVAL-H46-R32-v1
32,,,H46,1.2653839329014653e-12,5.773159728050814e-15,0.030093966560546376,native_batch,MACE-OFF-Small,0.29470365575990565,1,0.014035071849822998,cuda_dense,2.323390464,2.55852544,32,,auto,runs/direct_backend_frontier/eval/mace_h46_r32.json,66.80083297248373,1.6920404508244962,passed,,eval,671.9250948783645,True,,0.04762435611337423,EVAL-H46-R32-v1
1,,,MIX,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.50588416,0.6815744,256,,ase,runs/direct_backend_frontier/eval/mace_mix_r256.json,1.0,,passed,,eval,33.2152205806362,True,,7.707309947814792,EVAL-MIX-R256-v1
64,,,MIX,1.2653839329014653e-12,8.881784197001252e-15,0.20429363201184023,native_batch,MACE-OFF-Small,0.5299240832765939,4,0.6102583694458009,matscipy,15.696666624,17.368612864,256,,matscipy,runs/direct_backend_frontier/eval/mace_mix_r256.json,6.692721252366316,1.0,passed,,eval,222.3002126820589,True,,1.1515958392992616,EVAL-MIX-R256-v1
128,,,MIX,1.2653839329014653e-12,9.325873406851315e-15,0.39748703045626577,native_batch,MACE-OFF-Small,0.536393165395267,2,0.611568603515625,matscipy,31.32153856,33.793507328,256,,matscipy,runs/direct_backend_frontier/eval/mace_mix_r256.json,6.759909445686879,1.0,passed,,eval,224.53188334361585,True,,1.1401498806662858,EVAL-MIX-R256-v1
64,,,MIX,1.2653839329014653e-12,9.769962616701378e-15,0.20101289631302655,native_batch,MACE-OFF-Small,0.2285831053297101,4,0.1538187828063965,cuda_dense,15.696666112,17.089691648,256,,auto,runs/direct_backend_frontier/eval/mace_mix_r256.json,11.453483179798045,1.7113342611943518,passed,,eval,380.42997023359857,True,,0.6729227979667485,EVAL-MIX-R256-v1
128,,,MIX,1.2653839329014653e-12,8.881784197001252e-15,0.400397758369499,native_batch,MACE-OFF-Small,0.17449034451957063,2,0.10669836616516112,cuda_dense,31.320820736,34.040971264,256,,auto,runs/direct_backend_frontier/eval/mace_mix_r256.json,12.604233939548685,1.8645566247327092,passed,,eval,418.6524105520508,True,,0.6114857899956405,EVAL-MIX-R256-v1
1,,,MIX,,,,ase_b1,MACE-OFF-Small,0.0,,0.0,,0.50588416,0.6815744,32,,ase,runs/direct_backend_frontier/eval/mace_mix_r32.json,1.0,,passed,,eval,8.772013168440159,True,,3.6479653399437666,EVAL-MIX-R32-v1
16,,,MIX,1.2653839329014653e-12,6.661338147750939e-15,0.05313311800935811,native_batch,MACE-OFF-Small,0.5188583569891515,2,0.08596208000183106,matscipy,3.988194816,4.517265408,32,,matscipy,runs/direct_backend_frontier/eval/mace_mix_r32.json,22.018747133576532,1.0,passed,,eval,193.14873980828733,True,,0.16567542729899287,EVAL-MIX-R32-v1
32,,,MIX,1.2653839329014653e-12,7.993605777301127e-15,0.10019810833519621,native_batch,MACE-OFF-Small,0.537861184380599,1,0.08645257568359375,matscipy,7.881865216,8.518631424,32,,matscipy,runs/direct_backend_frontier/eval/mace_mix_r32.json,22.69566803310268,1.0,passed,,eval,199.08669885292306,True,,0.1607339926995337,EVAL-MIX-R32-v1
16,,,MIX,1.2653839329014653e-12,6.217248937900877e-15,0.051603752495625425,native_batch,MACE-OFF-Small,0.44053721076611946,2,0.06072969627380371,cuda_dense,3.988194816,4.387241984,32,,auto,runs/direct_backend_frontier/eval/mace_mix_r32.json,26.462580490848385,1.2018204455645625,passed,,eval,232.13010453662966,True,,0.1378537267446518,EVAL-MIX-R32-v1
32,,,MIX,1.2653839329014653e-12,7.105427357601002e-15,0.10162880510610744,native_batch,MACE-OFF-Small,0.25425170186237717,1,0.02389577579498291,cuda_dense,7.882274816,8.64026624,32,,auto,runs/direct_backend_frontier/eval/mace_mix_r32.json,38.814450050640474,1.7102140370588699,passed,,eval,340.48086696998104,True,,0.09398472309112549,EVAL-MIX-R32-v1
1,,,H276,,,,ase_b1,AtomBit,0.0,,0.0,,0.563341312,1.241513984,32,,ase,runs/direct_backend_frontier/nve/atombit_h276_r32.json,1.0,,passed,,nve,61.0660666500726,True,,524.0226160851307,MD-NVE-H276-R32-v1
16,,,H276,3.0130579876390255e-06,0.009158134460449219,0.5454408103170504,native_batch,AtomBit,0.10742391824477984,1439,14.906314574956887,matscipy,6.486899712,46.372225024,32,2.7728965489708733e-05,matscipy,runs/direct_backend_frontier/nve/atombit_h276_r32.json,3.7764239031502895,1.0,passed,,nve,230.61135376870288,True,7.037342837773523e-06,138.76159814791754,MD-NVE-H276-R32-v1
32,,,H276,3.5935553951539854e-06,0.00989443063735962,0.8542986425339365,native_batch,AtomBit,0.11366732689128017,927,15.060478573799129,matscipy,12.455195648,72.630665216,32,2.645421228006093e-05,matscipy,runs/direct_backend_frontier/nve/atombit_h276_r32.json,3.955003800782062,1.0,passed,,nve,241.51652569984785,True,6.043613894808151e-06,132.49610935430974,MD-NVE-H276-R32-v1
16,,,H276,2.0593836662898695e-06,0.005152225494384766,0.533477225249948,native_batch,AtomBit,0.059298668392502314,1442,7.809452799081801,"cuda_dense,matscipy",6.487279104,45.355106304,32,2.4613719290069922e-05,auto,runs/direct_backend_frontier/nve/atombit_h276_r32.json,3.9790039252247267,1.0536433481171024,passed,,nve,242.98211889867366,True,6.386305647327379e-06,131.69693368813023,MD-NVE-H276-R32-v1
32,,,H276,3.496805825999099e-06,0.008870720863342285,0.8550386581050976,native_batch,AtomBit,0.040241001313577204,927,4.888374199390417,"cuda_dense,matscipy",12.454510592,72.693579776,32,2.968334776703582e-05,auto,runs/direct_backend_frontier/nve/atombit_h276_r32.json,4.313743981558428,1.0907053946965686,passed,,nve,263.4233774891965,True,6.557539195561218e-06,121.47744936309755,MD-NVE-H276-R32-v1
1,,,H46,,,,ase_b1,AtomBit,0.0,,0.0,,0.154530816,0.559939584,32,,ase,runs/direct_backend_frontier/nve/atombit_h46_r32.json,1.0,,passed,,nve,69.78162859802471,True,,458.57341886265203,MD-NVE-H46-R32-v1
