model,task,pool_size,workload_id,method,batch_size,status,wall_time_s,end_to_end_time_s,speedup_vs_ase_b1_measured,speedup_vs_ase_b1_derived,speedup_reference,speedup_vs_ase_b1_end_to_end,throughput_per_s,atoms_per_s,peak_allocated_GB,peak_reserved_GB,gpu_memory_GB,memory_gate_fraction,model_time_s,neighbor_search_time_s,graph_update_time_s,mean_directed_edges_per_system,mean_candidate_edges_per_system,neighbor_rebuild_events,rebuilt_systems,max_energy_error_eV_per_atom,max_force_error_eV_per_A,endpoint_position_rmsd_A_max,endpoint_velocity_rmsd_A_per_fs_max,max_abs_energy_drift_eV_per_atom,mean_abs_energy_drift_eV_per_atom,validation_pass,concurrent_workers,torch_cpu_threads,source_status
AtomBit,eval,32,EVAL-H276-R32-v1,ase_b1,1,passed,0.8544321269728243,10.131863683462143,,,,,37.45177526665939,10336.689973597993,0.539405312,1.002438656,85.01788672,0.011790914767164892,0.8540184936523437,0.0,0.0,,,0,0,,,,,,,,,,passed
AtomBit,eval,32,EVAL-H276-R32-v1,native_batch,8,passed,0.42057979898527265,9.600201480090618,2.0315576949589627,,measured_same_workload,1.0553803172229368,76.08544223285564,20999.58205626816,3.174806016,3.999268864,85.01788672,0.047040323140132734,0.11560268878936768,0.2739811897277832,0.14687219429016113,8694.75,8694.75,8,64,1.382136723396547e-07,5.0067901611328125e-06,,,,,True,,,passed
AtomBit,eval,32,EVAL-H276-R32-v1,native_batch,16,passed,0.41116379434242845,9.64031337061897,2.078082114061896,,measured_same_workload,1.050989038835738,77.82786432151057,21480.49055273692,6.2049664,11.108614144,85.01788672,0.1306620826813231,0.1063703327178955,0.2796436233520508,0.1463749771118164,8694.75,8694.75,4,64,1.6585640367707854e-07,4.649162292480469e-06,,,,,True,,,passed
AtomBit,eval,32,EVAL-H276-R32-v1,native_batch,32,passed,0.4040625183843076,9.63769011432305,2.114603775646832,,measured_same_workload,1.0512751046440763,79.19566538355458,21858.003645861067,12.171500032,13.658750976,85.01788672,0.16065738049904799,0.10148358154296876,0.281587158203125,0.1465059814453125,8694.75,8694.75,2,64,1.3821366986820172e-07,5.9604644775390625e-06,,,,,True,,,passed
AtomBit,eval,32,EVAL-MIX-R32-v1,ase_b1,1,passed,0.7937786700204015,5.582088836003095,,,,,40.31350451779908,,0.51887616,0.98566144,85.01788672,0.011593577281521964,0.793544677734375,0.0,0.0,,,0,0,,,,,,,,,,passed
AtomBit,eval,32,EVAL-MIX-R32-v1,native_batch,8,passed,0.3330024410970509,5.132979754824191,2.383702255771335,,measured_same_workload,1.0874948085966658,96.09539165712559,,1.931235328,3.990880256,85.01788672,0.046941654397311273,0.08695657587051392,0.21584012985229492,0.11778927993774414,5102.8125,5102.8125,8,64,1.3821366822056638e-07,3.814697265625e-06,,,,,True,,,passed
AtomBit,eval,32,EVAL-MIX-R32-v1,native_batch,16,passed,0.30610946798697114,5.106622296851128,2.593120282232456,,measured_same_workload,1.0931078336154116,104.53776621297453,,3.71596544,4.171235328,85.01788672,0.049063032367972735,0.067891037940979,0.2159827518463135,0.11524271774291991,5102.8125,5102.8125,4,64,1.6585639626271956e-07,4.0531158447265625e-06,,,,,True,,,passed
AtomBit,eval,32,EVAL-MIX-R32-v1,native_batch,32,passed,0.29672170989215374,5.110554390586913,2.6751620914725374,,measured_same_workload,1.0922667893496443,107.84515906042297,,7.166252032,7.902068736,85.01788672,0.09294595573781865,0.06197389030456543,0.2164167022705078,0.11388829040527344,5102.8125,5102.8125,2,64,1.2439230955430464e-07,4.291534423828125e-06,,,,,True,,,passed
MACE-OFF-Small,eval,256,EVAL-H46-R256-v1,ase_b1,1,passed,7.644994872156531,8.565587130375206,,,,,33.48596098244164,1540.3542051923155,0.145898496,0.176160768,85.01788672,0.002072043599250734,7.6444970703125,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,256,EVAL-H46-R256-v1,native_batch,32,passed,0.5529837389476597,1.0260629672557116,13.824990381643273,,measured_same_workload,8.348013137326808,462.9430885023376,21295.38207110753,2.324675584,2.560622592,85.01788672,0.030118633746251743,0.15281948661804198,0.2756988525390625,0.1778428783416748,858.8125,,16,512,1.2653839329014653e-12,7.549516567451064e-15,,,,,True,,,passed
