optimizer,model,atoms,batch_size,method,wall_time_s,systems_per_second,peak_allocated_GiB,peak_reserved_or_device_GiB,model_evaluations,graph_evaluations,neighbor_rebuilds,converged
bfgs,mace,276,64,slots,148.81230920087546,1.7202877999456105,25.426908016204834,29.23828125,490,22923,0,256
bfgs,mace,276,128,active,143.84144652308896,1.7797373857673748,50.55440425872803,57.388671875,473,22518,0,256
bfgs,mace,276,128,repack,144.9226579288952,1.766459459538782,50.638930320739746,57.63671875,348,22680,0,256
bfgs,mace,276,128,slots,145.31910777883604,1.7616403232368543,50.62954139709473,57.6171875,361,22850,0,256
fire,atombit,46,,mps32,121.009034645278,2.115544519055376,,31.28125,46376,,,256
fire,atombit,46,32,active,282.6280345269479,0.9057841711579784,2.1905622482299805,2.47265625,7544,47304,432,256
fire,atombit,46,32,slots,116.0744818719104,2.2054804455857844,2.224066734313965,2.51171875,2091,46842,556,256
fire,atombit,46,128,active,114.73151447996497,2.2312962672928376,8.567800045013428,9.267578125,1848,46724,120,256
fire,atombit,46,128,slots,90.24968948820606,2.836574856398308,8.558811664581299,9.271484375,1035,46779,248,256
fire,atombit,276,,mps32,79.13508876040578,3.234974573353689,,31.28125,17776,,,256
fire,atombit,276,32,active,92.90113219199702,2.7556176545935913,11.401691436767578,12.314453125,928,17776,144,256
fire,atombit,276,32,slots,87.40456748520955,2.928908721427171,11.63138484954834,12.572265625,623,17776,278,256
fire,atombit,276,128,active,76.38512337300926,3.351437933141544,45.41233682632446,49.14453125,232,17808,36,256
fire,atombit,276,128,slots,77.78356504719704,3.2911836818570332,45.97285509109497,49.775390625,223,17808,87,256
fire,mace,46,,mps32,112.02765380498022,2.2851500616593245,,31.28125,49088,,,256
fire,mace,46,32,active,314.7846950972453,0.8132542782008981,2.160167694091797,2.482421875,7896,49120,0,256
fire,mace,46,32,slots,123.29219528194517,2.076368251977167,2.1614294052124023,2.482421875,2165,49120,0,256
fire,mace,46,128,active,121.67920999182388,2.1038926864926366,8.43159818649292,9.642578125,1974,49120,0,256
fire,mace,46,128,slots,97.81103206099942,2.617291675650112,8.432315349578857,9.642578125,1117,49120,0,256
fire,mace,276,,mps32,76.30169128859416,3.3551025629528577,,31.28125,18584,,,256
fire,mace,276,32,active,124.98689868301153,2.048214674477686,12.522175312042236,14.296875,1192,18616,0,256
fire,mace,276,32,slots,112.35708658117801,2.278449965103358,12.529229640960693,14.296875,694,18616,0,256
fire,mace,276,128,active,106.07434780104086,2.4134015933821087,49.87960433959961,56.640625,298,18616,0,256
