family,batch_size,mode,seconds,systems_per_second,speedup_over_active,speedup_over_fifo,model_evaluations,graph_evaluations,mean_active_occupancy,peak_allocated_GiB,peak_reserved_GiB,refill_events,slot_events,repack_events,arena_events,complete_compatible_matches,refill_phase_seconds,neighbor_phase_seconds,all_jobs_converged,max_energy_difference_meV_per_atom,max_position_component_difference_A,max_cell_component_difference_A,max_step_difference,convergence_mismatches,endpoint_gate_pass
ROFA-MIX,128,fifo_slots,35.484569909996935,7.2144033490984505,1.0288745727116562,1.0,189,13429,0.5551008597883598,36.45911645889282,41.09765625,17,0,17,0,0,0.36653350520133976,1.2678515552058818,True,0.12429984840186867,0.06594371795654297,0.0051441192626953125,8,0,True
ROFA-MIX,128,threshold_arena,35.44892783499381,7.221657060874115,1.029909053214426,1.0010054486039472,189,13444,0.5557208994708994,33.91123008728027,38.201171875,20,0,0,20,0,0.3625439394712449,1.2189109766744077,True,0.04783836570945946,0.03485107421875,0.00274658203125,3,0,True
SOXLEX48,64,active,28.810766402995796,8.885567166772095,1.0,,540,11971,0.4533547794117647,4.955596446990967,5.578125,0,0,0,0,0,0,3.059505212198944,True,0.0,0.0,0.0,0,0,True
SOXLEX48,64,compatible_slots,20.16661777900299,12.694245649190673,1.4286365080510868,1.016373805941083,272,11952,0.6865808823529411,5.015461444854736,5.638671875,142,96,46,0,96,0.9126867520809174,2.693749213431031,True,3.225038448969523,0.5378208160400391,0.3457956314086914,18,0,True
SOXLEX48,64,fifo_slots,20.49682206500438,12.48974105293553,1.4056211402735637,1.0,272,11952,0.6865808823529411,5.015461444854736,5.638671875,142,96,46,0,0,0.9667287082672119,2.7885200685411684,True,3.225038448969523,0.5378208160400391,0.3457956314086914,18,0,True
SOXLEX48,64,threshold_arena,22.56897119199857,11.343007079151231,1.2765653408787256,0.9081859288415932,293,11980,0.6388651877133106,4.911584854125977,5.51953125,154,0,0,154,0,2.5666718401908866,2.726931682672351,True,6.415406862894694,0.7171578407287598,0.34590721130371094,24,0,False
SOXLEX48,128,active,22.63610933900054,11.309363997413136,1.0,,315,11970,0.2597939311594203,8.925069808959961,9.640625,0,0,0,0,0,0,2.445047069959342,True,0.0,0.0,0.0,0,0,True
SOXLEX48,128,compatible_slots,19.32224626399693,13.248977189417353,1.1715050636311535,0.9965774186864015,213,11952,0.43838028169014087,8.704405307769775,9.40625,104,35,69,0,35,1.759291721820831,2.3329176607616255,True,3.224144379297892,0.5379924774169922,0.3456754684448242,18,0,True
SOXLEX48,128,fifo_slots,19.256114304997027,13.294478623528274,1.1755284051843415,1.0,213,11952,0.43838028169014087,8.704405307769775,9.40625,104,35,69,0,0,1.7687703940868373,2.355324382789434,True,3.224144379297892,0.5379924774169922,0.3456754684448242,18,0,True
SOXLEX48,128,threshold_arena,20.22002634400269,12.66071545331741,1.1194896066846356,0.9523288435629778,217,11970,0.4309475806451613,8.72310495376587,9.427734375,113,0,0,113,0,2.7110960410833362,2.2905218578167257,True,0.08530418078104655,0.030989646911621094,0.019344329833984375,1,0,True
