family,split,batch_size,pool_size,pool_to_resident_ratio,resident_atoms,mean_atom_count,atom_count_cv,mean_edge_count,edge_count_cv,mean_edges_per_atom,homogeneous_atom_count,unique_structure_count,refill_storage,active_wall_seconds,refill_wall_seconds,refill_speedup,active_systems_per_second,refill_systems_per_second,active_atoms_per_second,refill_atoms_per_second,active_mean_occupancy,refill_mean_occupancy,active_model_evaluations,refill_model_evaluations,active_graph_evaluations,refill_graph_evaluations,active_peak_reserved_GiB,refill_peak_reserved_GiB,refill_peak_reserved_fraction,active_converged,refill_converged,endpoint_max_energy_difference_meV_per_atom,endpoint_energy_outliers_above_5_meV_per_atom,endpoint_convergence_mismatches,endpoint_gate_passed,memory_gate_passed,training_eligible,predicted_mode,measured_speed_mode,speed_prediction_correct,selected_refill_scientifically_valid
ROFA-MIX,fit,32,256,8.0,5920.0,185.0,0.4472135954999579,5689.7734375,0.44949586447299994,30.625800605292792,False,256,repack,52.94485077774152,51.396081826649606,1.0301339887409249,4.835219973981391,4.980924438237242,894.5156951865573,921.4710210738898,0.7329297556719022,0.9053071120689655,573,464,13439,13442,12.04296875,11.92578125,0.1506178359169641,256,256,0.048018790580130914,0,0,True,True,True,active,active,True,True
ROFA-MIX,fit,64,256,4.0,11840.0,185.0,0.4472135954999579,5689.7734375,0.44949586447299994,30.625800605292792,False,256,repack,47.44481780286878,46.407451855018735,1.0223534347692882,5.395742082173636,5.516355450839408,998.2122852021226,1020.5257584052905,0.5881915266106442,0.8111124517374517,357,259,13439,13445,23.56640625,23.298828125,0.29425485827930964,256,256,0.04662694157780828,0,0,True,True,True,active,active,True,True
ROFA-MIX,fit,128,256,2.0,23680.0,185.0,0.4472135954999579,5689.7734375,0.44949586447299994,30.625800605292792,False,256,repack,45.51046856259927,44.171509576030076,1.0303127287118072,5.625079417670115,5.7955909240403205,1040.6396922689712,1072.1843209474594,0.4233555947580645,0.5551008597883598,248,189,13439,13429,40.92578125,41.09765625,0.5190469216123089,256,256,0.12429984840186867,0,0,True,True,True,active,active,True,True
SOXLEX48,heldout,32,256,8.0,1536.0,48.0,0.0,1811.984375,0.22948962861746863,37.749674479166664,True,256,slots,46.4589963038452,31.09403572930023,1.4941449449762614,5.510235269090651,8.233090172941706,264.49129291635126,395.18832830120186,0.4068627450980392,0.8767605633802817,918,426,11952,11952,3.041015625,3.099609375,0.039146823714415656,256,256,0.03478924433390299,0,0,True,True,False,refill,refill,True,True
SOXLEX48,heldout,64,256,4.0,3072.0,48.0,0.0,1811.984375,0.22948962861746863,37.749674479166664,True,256,slots,35.6233990942128,27.188098886050284,1.3102570813618202,7.186287847573436,9.415884540987488,344.94181668352496,451.9624579673994,0.34638310185185184,0.6865808823529411,540,272,11971,11952,5.578125,5.638671875,0.07121416513139131,256,256,3.225038448969523,0,0,True,True,False,refill,refill,True,True
SOXLEX48,heldout,128,256,2.0,6144.0,48.0,0.0,1811.984375,0.22948962861746863,37.749674479166664,True,256,slots,29.162008893676102,26.564156973268837,1.097795383569727,8.778544747495589,9.637045898260933,421.3701478797883,462.5782031165248,0.296875,0.43838028169014087,315,213,11970,11952,9.640625,9.408203125,0.11882183354274746,256,256,3.224144379297892,0,0,True,True,False,refill,refill,True,True
AXOSOW64,heldout,32,256,8.0,2048.0,64.0,0.0,4610.78125,0.21682767422663865,72.04345703125,True,256,slots,125.0295269782655,88.1334822140634,1.4186382273491358,2.047516344235244,2.9046849570542697,131.04104603105563,185.89983725147326,0.38615408415841584,0.8583009977827051,2020,902,24961,24774,6.947265625,7.296875,0.09215660579524694,256,256,6.021089851856232,2,0,False,True,False,refill,refill,True,False
AXOSOW64,heldout,64,256,4.0,4096.0,64.0,0.0,4610.78125,0.21682767422663865,72.04345703125,True,256,slots,94.00161586795002,77.53051026491448,1.2124467586599819,2.7233574405744183,3.3019259014969977,174.29487619676277,211.32325769580785,0.3583724793767186,0.73862286121673,1091,526,25023,24865,13.296875,14.46875,0.18273451170535046,256,256,5.3601861000061035,1,0,False,True,False,refill,refill,True,False
AXOSOW64,heldout,128,256,2.0,8192.0,64.0,0.0,4610.78125,0.21682767422663865,72.04345703125,True,256,slots,81.42830057116225,74.62728738877922,1.0911330616501225,3.143870106637865,3.430380614886071,201.20768682482336,219.54435935270854,0.3388943142361111,0.5566461894586895,576,351,24986,25009,24.83984375,28.10546875,0.3549608023002151,256,256,2.089977264404297,0,0,True,True,False,refill,refill,True,True
BOQWIN116,heldout,32,256,8.0,3712.0,116.0,0.0,6656.28125,0.18855312286056877,57.3817349137931,True,256,slots,112.5348529308103,90.47429476305842,1.2438323307799846,2.274850798066944,2.829532970336315,263.8826925757655,328.2258245590125,0.42423703352308667,0.8284713669950738,1581,812,21463,21527,10.287109375,10.38671875,0.13118009358113578,256,256,1.0546569166512325,0,0,True,True,False,refill,refill,True,True
BOQWIN116,heldout,64,256,4.0,7424.0,116.0,0.0,6656.28125,0.18855312286056877,57.3817349137931,True,256,slots,95.83119529578835,83.75361353391781,1.1442037095746258,2.6713639458408265,3.0565845364549835,309.87821771753585,354.5638062287781,0.3430135758196721,0.6061879512635379,976,554,21426,21493,19.48828125,19.763671875,0.24960725215259738,256,256,3.9222240447998047,0,0,True,True,False,refill,refill,True,True
BOQWIN116,heldout,128,256,2.0,14848.0,116.0,0.0,6656.28125,0.18855312286056877,57.3817349137931,True,256,slots,82.77409130521119,79.90254966495559,1.0359380476880455,3.092755184180235,3.2039027674767544,358.75960136490727,371.6527210273035,0.32011830783938816,0.42648695928753183,523,393,21430,21454,36.341796875,35.6171875,0.44983079852305224,256,256,5.921026756023538,1,0,False,True,False,active,active,True,True
